"Erlotinib","AZD6244","PD_0325901"
1.2982,1.0569,2.026
0.9973,0.9725,1.2644
0.4553,0.5237,0.8872
0.4709,3.0122,4.1166
0.1121,0.6744,0.9559
0.8959,3.0327,4.4466
2.0307,0.3377,0.684
0.198,0.3521,0.2755
0.8593,0.4632,1.5899
0,0.3049,1.589
1.2231,2.8138,3.2309
0,1.0566,2.1937
0.4111,1.2551,2.4795
0.7658,0.8245,1.184
1.7382,1.3218,1.8972
1.9746,2.4814,3.5462
4.0635,0.5055,1.436
1.6179,2.4557,3.6668
0.3066,1.6292,1.6923
0.06994,0.6252,1.3956
0,0.1026,0.1691
0.4055,0.3785,0.8364
0.2912,0.3915,0.8152
0.04207,0.5544,0.5376
0.09786,0.1862,0.2089
0.3191,1.7299,2.9449
0.8585,3.9755,4.5513
0.1621,0.1913,0.1101
0.9619,1.7723,2.0757
1.5548,3.0029,3.9475
1.1932,1.5972,1.3723
1.82,1.6916,2.1154
2.6443,3.634,4.7079
0.2903,0.09393,0.5158
0.3616,0.668,0.6579
0.3731,0.4868,0.4013
0.02743,5.9343,7.2797
1.2901,3.0387,3.3518
0.05276,0.7839,0.2756
0.01577,4.2032,5.29
0.842,0.9345,1.8762
1.0886,0.528,1.0343
0.06366,2.8866,4.1038
0.8885,0.4856,1.3958
0,3.4602,4.0762
0.3913,0,0.8609
0.532,0.3024,1.0265
0.03859,0.623,0.3681
0.1429,0.7329,0.9977
0.8693,0.3445,0.5565
0.7472,1.7805,2.4864
0.8033,3.4009,4.5666
0,0.1024,0.2984
1.0194,3.4381,4.8153
0.4879,1.2338,2.1915
0.494,1.4602,2.8214
0.5347,2.0182,3.0873
0.0789,1.4749,2.216
3.7177,1.2008,1.4392
0.5852,0.2844,0
1.171,0.2601,0.8899
0.5614,1.5048,2.5158
0.3102,3.606,4.299
0.2714,1.0042,2.4655
0.3004,1.7413,2.6134
0.3737,0.8398,1.2975
0.2199,2.4693,3.0172
0.7446,3.5502,3.7813
0.218,0.2204,0.5314
0.1262,2.5031,2.6177
0.1718,0.04644,0
0.4351,1.7254,1.5846
0.2999,1.0537,1.1637
0.06025,2.2005,3.2954
1.5385,2.7961,3.5574
0.172,1.1178,1.5961
0.6156,0.6701,0.4658
0.3784,1.6626,3.0522
1.6683,1.6026,2.4741
0.05907,2.5274,4.4939
0.2072,0.2236,0.104
0.1555,0.5487,0.9161
2.0435,1.7235,2.4202
2.1038,1.6772,2.6857
0.07066,0.2737,1.0433
0.1438,0.466,0.6552
0.1529,0.04748,0.2473
0.2221,0.2575,0.6498
1.9143,6.4934,7.3807
0.1907,1.7358,3.3683
0.1233,0.5556,0.1828
0.4775,0.833,1.746
0.6481,0,0.04932
0.7601,2.6927,3.5121
0.8541,0.7745,0
0.3647,1.2855,1.683
1.0627,1.6815,2.158
0.5373,1.4771,2.4447
0.09419,1.7595,3.0417
0.1272,2.0305,2.8012
0,3.251,4.6005
0.1344,0.8945,0.6448
0.4067,2.9562,4.2166
2.3791,0.8823,2.3037
1.4542,1.3523,2.1132
0.03266,3.1582,3.5526
0.2446,1.5398,2.5482
0.04943,0.7211,0.2465
0.4157,1.8228,1.9218
0.5904,0.5364,1.1063
0.6147,0.334,0.519
0.7714,1.1646,1.1151
0.3576,1.9704,3.7711
0.4495,0.4836,1.0717
0.9051,1.7,1.3371
0.8118,0.4998,0.8845
0.01824,1.4041,2.4054
0,0.3714,0.3718
0.3379,0.2108,0.7212
0.6863,0.9279,0.9657
0.4618,1.3236,1.8779
0.9531,0.9389,1.1333
0.1866,0.616,0.7627
0.06596,0.4243,1.8426
1.0076,1.7324,0.6981
0.3886,0.5246,0.8526
0.689,1.5696,1.5111
0.9399,2.0782,3.014
0,1.0256,1.5185
0.3717,0.02767,0.4635
0.1109,0,0.03729
0.08464,1.669,2.2362
0.1981,0.9301,1.3756
0.3159,2.4436,3.5422
0.3446,0.9396,1.3967
0.5871,1.5884,2.9671
1.0355,2.9688,4.8714
2.558,4.7855,5.322
0.2869,2.2851,3.2477
0.3561,0.3181,1.3252
0,3.5274,4.7172
0.9057,1.8812,2.6984
0.1385,0.3037,1.1128
0.8934,1.535,2.6029
0.3811,1.1293,2.1718
0.1791,0.6917,0.004786
1.0015,1.568,2.1085
0.5313,0.8136,0.8449
0,0.01673,0
0.06454,0,0.1675
0.8417,1.114,1.0105
2.0088,0.3205,1.4826
1.677,2.7173,2.8683
0.23,0.6396,0.753
1.7201,2.5837,2.7097
0.9259,0.8854,0.9762
0.08303,0.6637,0.3764
0.01286,0.05558,0.283
0.8777,0.09705,0.8026
0.8857,1.2785,1.3425
0.8222,3.1457,4.2844
0.2076,0.6276,1.6836
0.05681,0.1341,0.3997
0.4888,1.2003,1.683
0.07387,0.4738,1.3091
0.5495,1.1403,1.5143
0,2.9813,4.2295
0.6873,3.9363,4.916
0.4433,0.9361,1.0812
0,0.5331,0.9588
0.2547,0.6682,0.9976
0.194,0.03365,0
0.9017,1.3659,1.8358
0.1035,1.5979,2.0602
0.6819,2.9523,3.8317
0.08816,3.4457,4.8727
0.07185,2.07,3.0477
0.242,4.1904,6.2069
0.981,4.8064,6.3027
0.07841,0.8278,0.8524
1.1717,0.7315,1.5942
0.03998,0.04301,0
